english_text,spanish_text
find tom,encuéntrenlo a tomás
find tom,encuentre a tom
find tom,encuentren a tom
fix this,arregla esto
get away,¡vete de aquí
get away,¡lárgate
get away,¡largo
get away,¡vete ya
get down,ponte a ello
get down,abajo
get down,túmbate
get lost,¡piérdete
get lost,¡vete de aquí
get lost,¡lárgate
get lost,¡largo
get lost,¡vete ya
get lost,esfúmate
get real,¡despierta
get real,¡piénsalo bien
get real,abre los ojos
go ahead,adelante
go ahead,adelante
go on in,entre
go on in,entra
go on in,entren
go on in,entrá
go on in,entrad
good job,¡buen trabajo
grab tom,sujeta a tom
grab him,agárralo
have fun,diviértanse
have fun,pásala bien
have fun,pásenla bien
he spoke,él habló
he tries,él lo intenta
he tries,él prueba
help tom,ayuda a tom
help him,ayúdalo
hi guys,hola ¿qué hay
hi guys,ey chavales
hi guys,¿qué pasa troncos
hi guys,buenas
hi guys,¿qué tal os va
hi guys,hola por aquí
how cute,¡qué encanto
how deep,¿qué tan profundo
how deep,¿cómo de profundo
humor me,hazme el favor
humor me,compláceme
hurry up,¡date prisa
hurry up,apresúrate
i agreed,convine
i agreed,acepté
i agreed,accedí
i am fat,soy gorda
i am old,estoy viejo
i ate it,me lo comí
i ate it,me la comí
i can go,puedo ir
i did ok,lo hice bien
i did it,lo hice
i failed,fracasé
i forgot,lo olvidé
i get by,me las arreglo
i get it,lo entiendo
i got it,lo tengo
i phoned,llamé por teléfono
i refuse,me niego
i resign,dimito
i resign,renuncio
i saw it,lo vi
i smiled,sonreí
i stayed,me quedé
i talked,hablé
i talked,hablaba
i talked,charlé
i talked,charlaba
i use it,yo lo uso
i waited,esperé
ill pay,yo pagaré
im back,he vuelto
im back,estoy de vuelta
im bald,soy calvo
im bald,estoy calvo
im calm,estoy calmado
im cool,estoy tranquilo
im done,he terminado
im easy,soy bastante facilón
im fair,soy justo
im fine,estoy perfectamente
im free,¡soy libre
im free,yo soy libre
im full,estoy lleno
im full,estoy llena
im full,ya me llené
im here,estoy aquí
im home,estoy en casa
im hurt,estoy herido
im late,llego tarde
im lazy,soy vago
im lost,estoy perdida
im mean,soy malo
im next,me toca a mí
im okay,estoy perfectamente
im poor,soy pobre
im rich,soy rica
im rich,soy rico
im safe,estoy a salvo
im sick,estoy enferma
im thin,soy delgado
im tidy,estoy limpio
im warm,estoy calentito
im weak,estoy débil
im wise,soy listo
ive won,gané
it helps,eso ayuda
it hurts,duele
it works,funciona
its tom,es tom
its fun,es divertido
its his,es suyo
its new,es nuevo
its odd,es extraño
its old,es viejo
its red,es rojo
its sad,es triste
keep out,prohibido pasar
keep out,no entrar
kiss tom,besá a tomás
kiss tom,besa a tomás
kiss tom,besen a tomás
leave it,déjalo
leave me,déjame
leave us,déjanos
lets go,vamos
lets go,¡órale
look out,cuidado
marry me,cásate conmigo
may i go,¿puedo ir
save tom,salva a tom
she came,ella vino
she died,ella murió
she runs,ella corre
sit down,¡sentate
sit down,siéntate
sit here,siéntate aquí
speak up,¡hable más fuerte
speak up,habla más fuerte
speak up,¡habla más alto
stand by,prepárate
stand by,un momento
stand up,¡parate
stand up,¡de pie
stay put,no te muevas
stop tom,detén a tom
take tom,llévate a tom
tell tom,díselo a tom
terrific,¡genial
terrific,¡órale
they won,ellos ganaron
tom came,tom vino
tom died,tom ha muerto
tom fell,tom se cayó
tom knew,tom lo sabía
tom knew,tom tenía constancia de ello
tom left,tom se fue
tom lied,tom mintió
tom lies,tomás miente
tom lost,tom perdió
tom paid,tom pagó
tom quit,tom renunció
tom swam,tom nadó
tom wept,tom lloró
toms up,tom se ha levantado
too late,demasiado tarde
trust me,confía en mí
try hard,inténtalo de veras
try some,prueba un poco
try some,pruebe un poco
try some,prueben un poco
try this,prueben esto
try this,probá esto
try this,prueba esto
use this,usa esto
warn tom,avísale a tom
warn tom,avísele a tom
warn tom,avísenle a tom
warn tom,avisale a tom
watch me,mírame
watch me,vigílame
watch me,obsérvame
watch us,obsérvalos
watch us,obsérvanos
we agree,estamos de acuerdo
we tried,lo intentamos
well go,iremos
were ok,estamos bien
what for,¿para qué
what fun,¡qué divertido
who am i,¿quién soy yo
who came,¿quién vino
who died,¿quién murió
who fell,¿quién se calló
who fell,¿quién se cayó
who quit,¿quién se ha ido
who quit,¿quién lo ha dejado
who swam,¿quién nadó
whos he,¿quién es él
write me,escríbeme
after you,después de ti
after you,tú primero
after you,usted primero
after you,después de usted
after you,después de vosotras
aim fire,apunta ¡fuego
answer me,respóndeme
answer me,respondedme
answer me,respóndanme
birds fly,los pájaros vuelan
bless you,jesús
call home,¡llama a casa
calm down,cálmate
calm down,tranquilízate
calm down,tomátelo con soda
calm down,bajá un cambio
can we go,¿podemos ir
can we go,¿podemos irnos
can we go,¿podemos marcharnos
catch tom,¡atrápelo a tomás
catch him,captúralo
catch him,captúrenlo
catch him,atrápenlo
catch him,atrápalo
come back,vuelve
come here,vení
come here,ven
come here,venid aquí
come home,ven a casa
come over,venid aquí
come over,vente
come over,veníos
come over,venga aquí
come soon,vuelve pronto
do it now,hazlo ahora
dogs bark,los perros ladran
dont ask,no preguntes
dont cry,no llores
dont cry,¡no llorés
dont cry,¡no llores
dont cry,no lloren
dont lie,no mintáis
dont run,no corras
fantastic,¡fantástico
fantastic,¡es estupendo
fantastic,¡órale
feel this,tienta esto
feel this,tiente esto
feel this,tienten esto
feel this,tentad esto
feel this,tentá esto
follow me,sígueme
follow me,seguidme
follow us,síguenos
forget it,déjalo
forget me,olvídame
forget me,olvídate de mí
forget me,olvídenme
forget me,olvídense de mí
get ready,preparaos
go for it,ve a por ello
go for it,ve a cogerlo
go get it,ve a por ello
go get it,vete a por ello
go get it,id a por ello
go inside,entra
go to bed,vete a la cama
grab that,cógelo
grab this,agarra esto
have some,coge alguno
have some,toma algo
have some,tome alguno
he is old,él es viejo
he is old,él es anciano
he shaved,él se afeitó
he smiled,sonrió
hes a dj,él es dj
hes fast,él es veloz
hes good,él es bueno
hes rich,él es rico
hes rich,es rico
here i am,acá estoy
hold this,sostén esto
how awful,¡qué horror
how weird,¡qué raro
hows tom,¿cómo está tom
humor tom,divierte a tom
i am busy,estoy ocupada
i am full,estoy lleno
i am full,estoy llena
i am good,soy bueno
i am here,estoy aquí
i am sick,estoy enferma
i am weak,estoy débil
i beg you,te lo ruego
i beg you,te lo suplico
i can fly,puedo volar
i can run,puedo correr
i can run,sé correr
i can ski,sé esquiar
i cringed,sentí vergüenza
i fainted,perdí la consciencia
i fainted,quedé inconsciente
i gave up,lo dejé
i gave up,me rendí
i gave up,tiré la toalla
i gave up,cedí
i get you,te entiendo
i get you,te pillo
i get you,ya te pillo
i got hit,me dieron
i got hit,me alcanzaron
i hate it,lo odio
i hate it,me la seca
i hate it,me la baja
i hit tom,golpeo a tom
i hope so,eso espero
i knew it,lo sabía
i laughed,me reí
i like it,me gusta
i love it,¡lo adoro
i love it,me encanta
i mean it,hablo en serio
i mean it,lo digo en serio
i mean it,hablo en serio
i miss it,lo echo en falta
i miss it,lo echo de menos
i miss it,lo añoro
i need it,lo necesito
i saw tom,vi a tom
i saw him,le vi
i saw him,lo vi
i saw one,vi uno
i saw one,vi a uno
i saw one,veía a uno
i saw you,te vi
i saw you,te he visto
i see tom,veo a tom
i tripped,me tropecé
ill cook,yo cocinaré
ill cook,yo guisaré
ill live,viviré
ill sing,cantaré
ill stop,pararé
ill stop,lo dejaré
ill wait,esperaré
ill wait,aguardaré
ill walk,caminaré
ill walk,andaré
ill work,voy a trabajar
im a man,soy un hombre
im a pro,soy un pro
im alone,estoy solo
im alone,estoy sola
im alone,yo estoy solo
im alone,yo estoy sola
im angry,estoy enojado
im angry,estoy enojada
im awake,estoy despierto
im blind,soy ciega
im broke,estoy sin dinero
im broke,estoy quebrado
im broke,estoy sin blanca
im broke,no tengo blanca
im crazy,estoy loco
im drunk,estoy borracho
im drunk,estoy tomada
im drunk,estoy prendida
im dying,me estoy muriendo
im first,soy el primero
im first,voy el primero
im first,me toca primero
im first,yo voy primero
im happy,soy feliz
im happy,estoy feliz
im loved,soy amado
im loved,soy amada
im obese,soy obeso
im ready,estoy listo
im sorry,lo siento
im tired,yo estoy cansado
im tired,yo estoy cansada
im yours,soy tuyo
im yours,soy tuya
im yours,soy suyo
ive lost,he perdido
ignore it,ólvidalo
ignore it,no hagas caso
is tom ok,¿está bien tom
is tom in,¿está tom
is it bad,¿es grave
is it bad,¿es malo
is it far,¿está lejos
is it you,¿eres tú
it burned,se quemó
it failed,no lo consiguió
it failed,falló
it failed,fracasó
it is new,es nuevo
it rained,llovió
it snowed,nevó
it stinks,apesta
it worked,funcionó
its 310,son las tres y diez
its 830,son las 830
its a tv,es un televisor
its cold,hace frío
its cold,está frío
its cool,está frío
its cool,está fresco
its dark,está oscuro
its done,¡está listo
its fine,está perfecto
its good,está bien
its good,es bueno
its here,está aquí
its hers,es de ella
its late,es tarde
its mine,es mío
its mine,es mía
its nice,es agradable
its nice,hace buen tiempo
its okay,vale
its okay,está bien
its ours,es nuestro
its ours,es la nuestra
its over,se terminó
its over,se acabó
its time,ha llegado el momento
its time,es la hora
its time,es el momento
its time,ha llegado la hora
its true,¡es verdad
its true,es verdad
its work,es mi trabajo
keep them,guárdalos
keep them,quédatelos
keep them,guárdenselos
keep this,guarda esto
keep this,guarde esto
keep this,guardá esto
keep this,guardad esto
keep this,guarden esto
keep warm,mantente caliente
keep warm,manténgase caliente
keep warm,mantenete caliente
keep warm,mantenete abrigado
keep warm,mantente abrigado
keep warm,manténgase abrigado
keep warm,manténganse calientes
keep warm,manténganse abrigados
leave tom,dejalo a tomás
leave tom,déjalo a tomás
leave tom,déjelo a tomás
leave now,ahora márchate
leave now,ahora vete
leave now,ahora lárgate
let me go,¡déjame marchar
let me go,¡suéltame
let me go,¡déjeme ir
let me go,¡déjeme ir
let me in,déjame entrar
let me in,déjeme entrar
let us in,déjanos entrar
lets eat,comamos
lets see,veamos
lets try,¡intentémoslo
lie still,túmbate en silencio
lie still,mantente quieto en el suelo
listen up,escuchá
look away,mirá para otro lado
look away,mira para otro lado
look away,mire para otro lado
look away,miren para otro lado
look back,¡mira hacia atrás
look back,mira atrás
look back,mire atrás
look back,mirad atrás
look here,mira aquí
look here,mirad aquí
look here,miren aquí
loosen it,aflójalo
loosen it,suéltalo
loosen it,suéltala
loosen it,aflójala
move over,hazte a un lado
move over,deja sitio
move over,mueve el culo
move over,deja pasar
nice shot,¡buen tiro
of course,¡por supuesto
open fire,¡disparad
open fire,¡fuego a discreción
pardon me,¿perdona
please go,por favor ve
please go,por favor vete
please go,por favor márchate
please go,por favor váyase
put it on,póntelo
put it on,póngaselo
read this,lee esto
read this,lea esto
read this,lean esto
read this,leed esto
say hello,decí hola
search me,a mí que me registren
see above,véase arriba
see above,véase más arriba
seize him,¡a por él
seize him,¡cogedlo
seize him,¡arrestadlo
seize him,¡prendedlo
seize him,¡capturadlo
seriously,¿en serio
she tried,ella lo intentó
she tried,ella lo probó
she walks,ella anda
she walks,ella camina
she walks,anda
shes hot,ella es candente
shes hot,está como un tren
shes hot,está de toma pan y moja
shes hot,está buena
shes hot,está que cruje
sign here,firme aquí
sign this,firma esto
sign this,firme esto
sign this,firmen esto
sign this,firmá esto
sign this,firmad esto
sit still,siéntate y no te muevas
sit still,siéntate y quédate quieto
sit there,sentate ahí
sit tight,tú mantente
slow down,quieto
slow down,más despacio
stay away,fuera
stay away,aléjate
stay calm,mantén la calma
stay calm,mantené la calma
stay here,quedate acá
step back,da un paso atrás
stop here,para aquí
stop here,párate aquí
stop here,detente aquí
stop here,deténgase aquí
stop here,deténganse aquí
stop here,paraos aquí
stop here,parad aquí
stop that,para eso
stop them,deténlos
stop them,párales
take care,¡cuidate
take care,¡te cuidas
take care,cuídate
take care,cuidaos
take mine,coge el mío
take mine,toma el mío
take over,asume el mando
take over,toma el control
take over,encárgate tú
take this,toma esto
take this,tome esto
take this,tomen esto
take this,tomá esto
thank you,¡gracias
thank you,gracias a ti
thank you,gracias
thats it,eso es
thats me,soy yo
thats me,ese soy yo
then what,¿entonces qué
they fell,cayeron
they left,se fueron
they left,se marcharon
they left,se iban
they lost,perdieron
tom bowed,tom se inclinó
tom cared,tom se preocupó
tom cared,tom se preocupaba
tom cared,a tom le importaba
tom cares,tom se preocupa
tom cares,a tom le importa
tom cried,tom lloró
tom dozed,tom dormitó
tom drove,tomás condujo
tom is ok,tom está bien
tom is in,tom está dentro
tom is up,tom está levantado
tom knits,tom teje
tom knows,tom sabe
tom moved,tom se mudó
tom moved,tom se movió
tom rocks,tom se mece
tom stood,tom se quedó
tom swims,tom nada
tom swore,tom juró
tom tried,tomás lo intentó
tom tries,tomás lo intenta
tom voted,tomás votó
tom walks,tom camina
tom waved,tom saludó
tom works,tomás trabaja
tomll go,tom irá
toms fat,tom está gordo
toms mad,tom está loco
toms sad,tom está triste
toms shy,tom es tímido
trust tom,confía en tom
try again,inténtalo de nuevo
try again,intentadlo otra vez
try again,intenta otra vez
try it on,pruébatelo
wait here,espera aquí
wait here,aguarda aquí
wait here,esperen aquí
wait here,esperad aquí
watch tom,vigila a tom
watch out,¡abusado
we can go,podemos ir
we can go,podemos irnos
we can go,nos podemos marchar
we failed,fallamos
we failed,hemos fallado
we forgot,nos olvidamos
we saw it,lo vimos
we saw it,lo veíamos
we talked,conversamos
we waited,nosotros esperamos
well see,después veremos
well see,ya veremos
well try,lo intentaremos
weve won,¡hemos ganado
whats up,¿qué hay
who cares,¿a quién le importa
who is he,¿quién es él
who is it,¿quién es
who knows,aabe
who stood,¿quién se quedó
wholl go,¿quién irá
whos tom,¿quién es tom
write tom,escribe a tom
you drive,tú maneja
you start,tú empieza
you tried,lo intentaste
youre ok,tú estás perfectamente
youre ok,estás perfectamente
aim higher,más alto
aim higher,apuntad más alto
all aboard,¡todos a bordo
am i right,¿tengo razón
am i wrong,¿me equivoco
am i wrong,¿estoy equivocada
answer tom,¡respóndale a tomás
answer tom,¡respondele a tomás
answer tom,¡respóndanle a tomás
are you 18,¿tienes dieciocho
are you 18,¿has cumplido dieciocho
are you ok,¿estás bien
are you in,¿te apuntas
are you in,¿estás dentro
are you up,¿estás levantado
ask anyone,pregúntale a cualquiera
ask anyone,preguntadle a cualquiera
ask anyone,pregúntele a cualquiera
ask anyone,pregúntenle a cualquiera
ask around,pregunta por aquí
ask around,pregunta en los alrededores
be careful,¡ten cuidado
be careful,¡sé cuidadoso
be content,estate contento
be on time,llega a tiempo
be on time,llegue a tiempo
be patient,sea paciente
be serious,sé serio
birds sing,los pájaros cantan
birds sing,los pájaros están cantando
bring food,traed comida
bring help,traed ayuda
bring wine,trae vino
can i come,¿puedo ir
can i come,¿puedo venir
can i come,¿puedo acercarme
can i help,¿puedo ayudar
can i stay,¿me puedo quedar
carry this,lleva esto
check that,comprobad eso
check this,comprueba esto
choose one,escoge uno
come again,vuelve otra vez
come alone,ven solo
come along,vente
come along,vénganse
come early,vení temprano
come early,ven temprano
come early,vengan temprano
come early,venga temprano
come on in,¡pásale
come on in,¡pásele
come on in,¡pásenle
come on in,entre
come on in,pase
come quick,¡ven rápido
come quick,¡vení rápido
come to me,ven a mí
come to me,venid a mí
come to us,ven a nosotros
come to us,venid a nosotros
cut it out,¡ya párale
did tom go,¿fue tom
do come in,¡pásale
do come in,¡pásele
do come in,¡pásenle
do come in,pasa adentro
do come in,entra de una vez
do come in,entra ya
do come in,métete dentro
do men cry,¿los hombres lloran
dont come,no vengas
dont jump,¡no saltéis
dont look,no miréis
dont move,¡no os mováis
dont move,no te muevas
dont move,no se mueva
dont move,no se muevan
dont sing,no cantes
dont sing,no canten
dont stop,no pares
dont talk,¡no hables
dont talk,no hables
dont wait,¡no esperes
dont wait,¡no esperen
dont wait,no esperes
dont yell,no grites
eat slowly,come despacio
eat slowly,¡comé despacio
fire burns,el fuego quema
follow tom,seguilo a tomás
follow tom,síguelo a tomás
follow tom,sígalo a tomás
follow tom,síganlo a tomás
follow him,síguele
follow him,síguelo
forget tom,olvidate de tomás
forget tom,olvídate de tomás
forget tom,olvídese de tomás
forget him,olvídenlo
forgive us,perdónanos
forgive us,perdónenos
get a life,consíguete una vida
get inside,entra
get to bed,vete a la cama
give it up,déjalo
go on home,vete a casa
go on home,váyase a casa
go see tom,ve a ver tom
go to work,andá a trabajar
god exists,dios existe
have faith,ten fe
have faith,tened fe
have faith,tengan fe
have faith,confíen
he ate out,él salió a comer
he coughed,tosió
he gave in,él se rindió
he gave up,se rindió
he gave up,lo dejó
he gave up,cedió
he gave up,tiró la toalla
he hung up,descolgó
he hung up,él cogió el teléfono
he is a dj,él es dj
he is here,¡él está aquí
he is kind,él es gentil
he is kind,él es amable
he is kind,él es generoso
he is mean,él es mezquino
he is tall,él es alto
he laughed,él se reía
he made it,lo hizo él
he made it,lo logró
he made it,lo hizo
hes broke,está sin blanca
hes broke,está arruinado
hes cruel,él es cruel
hes lying,él miente
hes lying,él está mintiendo
hes smart,es inteligente
hes smart,él es inteligente
here he is,¡helo aquí
here he is,¡aquí está él
here it is,aquí está
here we go,aquí vamos
hey relax,hey cálmate
hold still,quieto
hold still,mantente quieto
how boring,¡qué aburrimiento
how is tom,¿cómo está tom
how lovely,¡qué bonito
how lovely,¡encantador
how lovely,¡es una preciosidad
how tragic,¡qué trágico
hows work,¿qué tal el trabajo
hows work,¿cómo van las cosas en el trabajo
hurry home,rápido a casa
hurry home,corre vete a casa
i admit it,lo admito
i am a man,soy un hombre
i am a man,soy una persona
i am bored,estoy aburrida
i am happy,¡soy feliz
i am happy,¡estoy feliz
i am happy,yo estoy contento
i am human,yo soy humano
i am ready,estoy listo
i am tired,estoy fisurado
i broke it,yo lo rompí
i can help,yo puedo ayudar
i can jump,puedo saltar
i can read,sé leer
i can sing,puedo cantar
i can swim,sé nadar
i chuckled,solté una risita
i disagree,no estoy de acuerdo
i doubt it,lo dudo
i eat here,como aquí
i eat here,yo como aquí
i eat meat,yo como carne
i envy tom,envidio a tom
i envy him,lo envidio
i feel bad,me siento mal
i feel old,me siento viejo
i felt bad,me sentía mal
i found it,lo encontré
i got lost,me perdí
i got sick,me puse enfermo
i hate tom,odio a tom
i hate you,te detesto
i have one,tengo uno
i have one,yo tengo uno
i have won,gané
i hear you,te oigo
i help him,le ayudo
i knew tom,conocí a tom
i know tom,conozco a tom
i know her,la conozco
i know him,lo conozco
i know now,ahora sé
i like tom,me agrada tom
i like art,me gusta el arte
i like him,me gusta él
i like him,él me gusta
i like tea,me gusta el té
i like you,me agradas
i liked it,me gustó
i love tom,lo amo a tomás
i love him,yo lo amo
i love him,lo amo
i love you,te quiero
i love you,te amo
i love you,¡te amo
i love you,os amo
i loved it,me encantó
i miss tom,echo de menos a tom
i miss him,le echo de menos
i miss him,lo extraño
i miss you,te echo de menos
i must run,tengo que correr
i need tom,necesito a tom
i need ice,necesito hielo
i promised,prometí
i ran home,me fui corriendo a casa
i ran home,me apresuré a ir casa
i remember,me acuerdo
i remember,yo me acuerdo
i remember,yo recuerdo
i resigned,renuncié
i said yes,dije que sí
i said yes,yo decía que sí
i sat down,me senté
i sat down,me sentaba
i saw that,lo vi
i saw that,vi eso
i saw that,veía eso
i screamed,grité
i screamed,yo grité
i see them,los veo
i see them,las veo
i shot tom,disparé a tom
i survived,sobreviví
i think so,creo que sí
i think so,eso creo
i threw up,vomité
i told tom,se lo dije a tom
i told tom,se lo he dicho a tom
i use this,uso esto
i use this,utilizo esto
i want tom,quiero a tom
i want one,¡quiero uno
i want one,¡quiero una
i want one,quiero uno
i want one,yo quiero uno
i was late,llegué tarde
i was sick,yo estaba enfermo
i wont go,no voy a ir
i work out,yo hago ejercicio
i wrote it,yo lo escribí
id buy it,yo lo compraría
ill be ok,estaré bien
ill do it,lo haré yo
ill do it,lo haré
ill go in,entraré
ill go in,voy a entrar
im french,soy francés
im a hero,soy un héroe
im a liar,soy un mentiroso
im a twin,soy gemelo
im better,yo soy mejor
im bushed,estoy agotado
im buying,estoy comprando
im clumsy,soy torpe
im coming,ahí voy
im eating,estoy comiendo
im faster,yo soy más rápido
im greedy,soy codicioso
im hiding,yo estoy escondido
im hungry,ya tengo hambre
im hungry,me pica el bagre
im hungry,me pica el bagre
im immune,soy inmune
im moving,me estoy moviendo
im moving,me mudaré
im normal,soy normal
im scared,estoy asustado
im single,estoy soltero
im single,estoy soltera
im single,soy soltero
im skinny,estoy flacucho
im sleepy,¡tengo sueño
im sleepy,tengo sueño
im sleepy,tengo sueño
im so fat,estoy tan gordo
im so fat,estoy tan gorda
im trying,lo estoy intentando
im trying,me estoy esforzando
im twelve,tengo doce años
im twelve,tengo doce
ive eaten,he comido
ignore tom,ignora a tom
ignore him,no le hagas caso
is tom big,¿es grande tom
is tom fat,¿está gordo tom
is tom fun,¿tom es divertido
is tom hot,¿tiene calor tom
is tom ill,¿tom está enfermo
is tom mad,¿está loco tom
is tom out,¿está fuera tom
is he dead,¿está muerto
is he tall,¿es alto
is it free,¿es gratis
is it good,¿está bueno
is it here,¿es acá
is it here,¿aquí
is it here,¿está aquí
is it real,¿esto es real
is it safe,¿es seguro
is it true,¿es verdad
is that ok,¿vale eso
is that ok,¿está bien eso
is that it,¿eso es todo
is that it,¿es ese
is that so,¿acaso es así
is that so,¿es así
is this ok,¿esto es bueno
is this it,¿eso es todo
is this it,¿es este
it happens,eso pasa
it is cold,está frío
it is mine,es mío
its toms,es de tom
its alive,está vivo
its empty,está vacío
its great,es estupendo
its great,es grandioso
its green,es verde
its green,está verde
its magic,es magia
its my cd,es mi cd
its night,es de noche
its night,ha anochecido
its on me,es de parte mía
its ready,está listo
its right,vale
its right,está bien
its right,es correcto
its there,está ahí
its white,es blanco
its windy,hace viento
its yours,es suyo
its yours,es tuyo
jesus wept,jesús lloró
just do it,tan sólo hazlo
keep it up,¡continúa
keep it up,¡continúe
keep notes,toma apuntes
keep notes,tomad apuntes
keep notes,tomen notas
keep quiet,¡quédate tranquilo
keep quiet,¡guarden silencio
keep still,mantente quieto
keep still,mantenete quieto
keep still,manténgase quieto
keep still,manténganse quietos
leave town,abandona la ciudad
leave town,deja la ciudad
leave town,sal de la ciudad
let tom go,deja ir a tom
let tom in,dejar entrar a tom
let him go,¡déjale irse
let him go,deja que se vaya
let him in,déjalo entrar
let him in,dejalo entrar
let him in,déjelo entrar
let him in,déjenlo entrar
let him in,dejadlo entrar
let me out,¡déjame salir
let me out,¡dejadme salir
let me pay,deja que pague yo
let me see,déjame ver
let me see,déjeme ver
let me see,a ver
lets chat,charlemos
lets chat,vamos a charlar
lets kiss,besémonos
lets play,juguemos
lets quit,desistamos
lets quit,renunciemos
lets sing,cantemos
lets swim,nademos
lets talk,conversemos
lets vote,votemos
lets walk,caminemos
lets work,trabajemos
lift it up,levántalo
look again,mirá de nuevo
look again,mira de nuevo
look again,mire de nuevo
look again,miren de nuevo
look ahead,mirá hacia adelante
look ahead,mira hacia adelante
look ahead,mire hacia adelante
look ahead,miren hacia adelante
look at it,míralo
look at it,obsérvalo
look at it,contémplalo
look at me,mírame
look at us,míranos
look at us,obsérvanos
look it up,búscalo
look it up,búsquenlo
look there,mira allí
love lasts,el amor dura
mama cried,mamá lloró
no comment,sin comentarios
no kidding,¿en serio
no problem,¡no hay problema
no problem,¡sin problemas
no problem,ningún problema
please sit,por favor siéntese
please sit,por favor siéntate
please sit,por favor sentaos
quiet down,baja la voz
replace it,reemplazadlo
say cheese,di patata
say cheese,decid patata
say cheese,di güisqui
say cheese,decid güisqui
say cheese,sonría
say please,di por favor
she is old,es vieja
she smiled,sonrió
shes busy,ella está ocupada
shes nice,es guapa
sing along,canta
smell this,huele esto
