English,Portuguese
"She had wonderful food and, what was more, she was given a New year's gift.","Ela teve uma refeição maravilhosa, e, não apenas isso, ainda ganhou um presente de Ano-Novo."
I met him on the previous day.,Eu o encontrei no dia anterior.
How did you like the party?,Você gostou da festa?
Both of your daughters are very beautiful.,Ambas as suas filhas são muito bonitas.
I don't want to have children. Is that abnormal?,Não quero ter filhos. Isso é anormal?
A great ship asks deep waters.,Um grande navio pede águas profundas.
"If he knew the truth, he would tell us.","Se ele soubesse a verdade, iria nos contar."
Kenji plays tennis.,Kenji joga tênis.
Can you tell me why you like him?,Você pode me dizer por que você gosta dele?
May I offer you a drink?,Posso oferecer-lhes algo a beber?
He had reached the limits of his patience.,Ele tinha chegado ao limite de sua paciência.
I like cake.,Eu gosto de bolo.
I can't stand that attitude of his.,Eu não consigo aguentar a atitude dele.
I am just going for a walk.,Só vou dar um passeio.
I don't like you anymore.,Eu não gosto mais de você.
"Between you and me, what is your opinion of her?","Aqui para nós, qual é sua opinião a respeito dela?"
Bill can run faster than Bob.,Bill corre mais rápido do que Bob.
The plane arrived exactly at nine.,O avião chegou exatamente às nove.
I am willing to help you.,Eu estou disposto a te ajudar.
His wife is French.,A mulher dele é francesa.
Could you give me the name and phone number of a doctor?,Você poderia me dar o nome e o telefone de um médico?
He grew up to be an engineer.,Ele nasceu para ser engenheiro.
"Although her parents had said no for a long time, they finally let her go to Europe alone.","Apesar de seus pais dizerem ""não"" por um bom tempo, eles finalmente o deixaram ir à Europa sozinho."
"She went to Kyoto, didn't she?","Ela foi para Kyoto, não foi?"
The hotel at which we stayed was very comfortable.,O hotel que ficamos era muito confortável.
They swam across the river.,Eles cruzaram o rio nadando.
My house is near the church.,Minha casa é perto da igreja.
There is no need for you to stay here.,Tu não precisas ficar aqui.
The area was quiet.,A área estava calma.
The stadium was flooded with baseball fans.,O estádio estava cheio de fãs de beisebol.
I'm used to being laughed at.,Estou acostumado que riam de mim.
A chain of events led to the outbreak of the war.,Uma sequência de eventos levou ao início da guerra.
You can do whatever you want to.,Você pode fazer o que quiser.
She was hurt in the accident.,Ela se feriu no acidente.
It is not always easy to separate right from wrong.,Não é sempre fácil separar o certo do errado.
Does she speak English?,Ela fala inglês?
Would you mind if I smoke?,Você se importa se eu fumar?
You should follow your doctor's advice.,Você deve seguir o conselho do seu médico.
I felt something crawling up my arm.,Eu senti alguma coisa subindo pelo meu braço.
Mother is preparing lunch.,Mamãe está preparando o almoço.
The company stopped losing money.,A companhia parou de perder dinheiro.
Can you deliver that?,Você pode entregar isso?
You can talk about anything under the sun.,Você pode falar de qualquer coisa debaixo do sol.
He is unable to concentrate on his academic work.,Ele é incapaz de se concentrar em seu trabalho acadêmico.
"He loves her. She loves him, too.","Ele a ama. Ela o ama, também."
You must do as you are told.,Você deve fazer o que te mandam.
He is nothing but a fool.,Ele não é nada além de um tolo.
All sold out!,Tudo vendido!
Please behave prudently.,"Por favor, aja com prudência."
No other city in Japan is as large as Tokyo.,Não há outra cidade no Japão maior que Tóquio.
I have left you your dinner in the oven.,Eu deixei seu jantar no forno.
I have a book in my hand.,Tenho um livro na mão.
"All languages are equal, but English is more equal than the others.","Todos os idiomas são iguais, mas o inglês é mais igual que os outros."
I felt a touch of pain in my head.,Eu tinha um pouco de dor de cabeça.
Write it in pencil.,Escreva-o a lápis.
The bill must be paid today.,A conta deve ser paga hoje.
Yesterday he came back late.,Ontem ele voltou tarde.
Are you for the war or against it?,Você está a favor ou contra a guerra?
I hate karaoke.,Odeio karaokê.
He's a widower with three small children to take care of.,Ele é um viúvo com três criancinhas para tomar conta.
Wolves won't usually attack people.,Lobos normalmente não atacam pessoas.
He tried to stand up.,Ele tentou se levantar.
"Hello, Mum. Is that you? she says.","Olá, mamãe. É você?, diz ela."
DNA is a complex chemical that makes up a gene.,O ADN é um composto químico complexo que constitui um gene.
He was jealous of his wife.,Ele estava com ciúme da esposa.
Where is the station?,Onde é a estação?
The slaughter of the prisoners was a barbarous act.,O massacre dos prisioneiros era ato um bárbaro.
All right! You will be sorry for this.,Tudo bem! Você vai se arrepender disso.
She mixed him up with someone else.,Ela confundiu ele com outra pessoa.
He is not at all a gentleman.,Ele não é mesmo um cavalheiro.
He is liberal with his money and buys a lot of presents.,Ele é liberal com o seu dinheiro e compra vários presentes.
A ballet theater is a place in which I can study motion.,O teatro de balé é um lugar onde posso estudar o movimento.
She walked slowly through the park to show off her new hairstyle.,Ela caminhou lentamente pelo parque para mostrar seu novo penteado.
I play the guitar in my spare time.,Eu toco violão em meu tempo livre.
Why did he run away?,Por que ele fugiu?
He gave up going abroad to study because of his father's sudden death.,Ele desistiu de ir para o exterior estudar por causa da morte repentina do pai.
They are on good terms with their neighbors.,Eles estão de bem com seus vizinhos.
That is mine.,Isso é meu.
I beat him at chess.,Ganhei dele no xadrez.
I am very sensitive to the cold.,Sou muito sensível ao frio.
"Due to bad weather, the plane was late.","Por causa do mau tempo, o voo estava atrasado."
He is always complaining.,Está sempre a se queixar.
I'd like to see you before I leave for Europe.,Gostaria de vê-lo antes de partir para a Europa.
"In addition to this, there are other reasons.","Além disso, há outras razões."
I saw a dog.,Eu vi um cachorro.
Therein lies the problem.,É aí que está o problema.
I'm from Colombia.,Eu sou da Colômbia.
There are a lot of things you don't know about my personality.,Há muitas coisas que você não conhece sobre a minha personalidade.
We have had fine weather this week.,Nós tínhamos tido tempo bom essa semana.
I'll go to the park.,Eu vou ao parque.
He consoled himself with the thought that it might have been worse.,Ele se consolou com o pensamento de que poderia ter sido pior.
"Little by little, you will notice improvement in your writings.","Pouco a pouco, você vai notar melhoras nos seus textos."
The child was almost drowned.,A criança quase se afogou.
Would you like some more cookies?,Você gostaria de mais alguns biscoitos?
Dick died at ten years of age.,Dick morreu aos dez anos de idade.
Have you got shampoo?,Tem xampu?
Black hens lay white eggs.,As galinhas pretas põem ovos brancos.
I got a letter from a friend.,Recebi uma carta de um amigo.
Never get off the train while it is going.,Nunca saia do trem enquanto ele estiver em movimento.
They earn their living by collecting and selling old newspapers.,Eles ganham a vida coletando e vendendo jornais velhos.
One who is not willing to learn is not worth teaching.,Não vale a pena ensinar alguém que não tem vontade de aprender.
The boat sailed across the Pacific Ocean.,O barco navegou pelo oceano Pacífico.
He drew two squares on the blackboard.,Ele desenhou dois quadrados no quadro.
'A' comes before 'B' in the alphabet.,"O ""A"" vem antes do ""B"" no alfabeto."
Atomic bombs are a danger to the human race.,As bombas atômicas são um perigo à raça humana.
"Get me a chair, please.","Traga-me uma cadeira, por favor."
What kind of treatment will I get?,Que tipo de tratamento receberei?
Miho plays the piano.,Miho toca piano.
He has a strong shoulder for you to lean on.,Ele tem um ombro forte para você se apoiar.
"Even if you are busy, you should keep your promise.","Mesmo se estiver ocupado, deveria manter sua promessa."
We are bound to make mistakes from time to time.,Obrigatoriamente estamos sujeitos a errar de vez em quando.
Mother and child are both doing well.,Ambos mãe e filho passam bem.
It's enough for five days.,Isso é suficiente para cinco dias.
I wish I could show you the pretty ice on the trees.,"Gostaria de poder mostrar a você o gelo nas árvores, é bonito."
He accepted our offer.,Ele aceitou a nossa oferta.
The rumor is only too true.,O rumor é apenas verdadeiro demais.
It was very windy.,Ventava muito.
She can't build sentences yet.,Ela ainda não consegue formar frases.
Compare your translation with the one on the blackboard.,Compara a tua tradução com aquela que está no quadro.
The students learned this poem by heart.,Os alunos aprenderam este poema de cor.
I went into the army.,Eu entrei para o exército.
He abandoned socialism.,Ele abandonou o socialismo.
Where will you have lunch today?,Onde você vai almoçar hoje?
He went there in person.,Ele foi lá em pessoa.
I suppose it's different when you think about it over the long term.,Eu suponho que seja diferente quando você pensa sobre isso a longo prazo.
What do you do in your free time?,O que você faz durante o seu tempo livre?
It takes you an hour to go to the station on foot.,Você leva uma hora para ir a pé para a estação.
She despises people who lie.,Ela despreza as pessoas que mentem.
She is a very clever liar.,Ela é uma mentirosa muito esperta.
Trees give off oxygen and absorb carbon dioxide.,As árvores emitem oxigênio e absorvem dióxido de carbono.
I am weak in geography.,Sou fraco em geografia.
They are using a telescope to look at the sky.,Eles estão usando um telescópio para olhar o céu.
I will miss you all.,Sentirei saudade de todos.
You're not going to get electrocuted just by directly touching a 1.5V battery.,Você não vai ser eletrocutado só por tocar diretamente uma bateria de 1.5 V.
His dream is to study chemistry in the US.,Seu sonho é estudar química nos EUA.
The thermometer reads three degrees below zero.,O termômetro indica três graus abaixo de zero.
Have you ever touched a dolphin?,Você já tocou um golfinho?
Have you ever returned home before seven?,Você já voltou para casa antes das sete?
What are you trying to do?,Você que está tentando fazer?
We have enough time.,Temos tempo suficiente.
That tower you see over there is the Eiffel Tower.,Aquela torre que você vê lá é a Torre Eiffel.
Don't be taken in by his words.,Não se deixe atingir por suas palavras.
I'll help you within the limits of my ability.,Eu vou te ajudar dentro dos limites das minhas possibilidades.
"While I understand what you say, I can't agree with you.","Apesar de entender o que você quer dizer, não concordo com você."
Helen has won the prize.,A Helen ganhou a recompensa.
Mary's husband doesn't blame her for his problems.,O marido de Maria não a culpa pelos problemas dele.
Let's take turns rowing the boat.,Vamos nos reversar remando.
I like having plenty to do.,Eu gosto de ter um monte de coisas para fazer.
What a fool I was!,Que trouxa que eu fui!
My attitude towards him changed.,Minha atitude em relação a ele mudou.
He looks well.,Ele parece bem.
"Honestly, it's all or nothing.","Honestamente, é tudo ou nada."
The story had a happy ending.,A estória teve um final feliz.
The water's warm enough for a swim.,A água está quente o suficiente para uma nadada.
Fill a glass with water.,Encha um copo de água.
He is very much interested in biology.,Ele se interessa muito em biologia.
Oxygen is needed for combustion.,O oxigênio é necessário para a combustão.
The dog is called Spot by the family.,O cachorro é chamado de Spot pela família.
He neglects his studies.,Ele negligenciou seus estudos.
Next Sunday we are going to have a party for Mr Oka.,"Domingo que vem, vamos fazer uma festa para o senhor Oka."
"He got very angry, for she refused to follow his advice.",Ele ficou irado porque ela se recusou a seguir seu conselho.
We have a black and white dog.,Nós temos um cachorro preto e branco.
What do you mean by communication?,O que você quer dizer com comunicação?
Put the egg into boiling water.,Coloque o ovo em água fervente.
I can't understand what you said at all.,Eu não consigo entender nada do que você disse.
I'm behind him.,Eu estou na cola dele.
My sister has long legs.,Minha irmã tem pernas compridas.
Keiko isn't as tall as I.,Keiko não é tão alta como eu.
"Apart from the cost, the dress doesn't suit me.","À parte do custo, o vestido não me cai bem."
Clark Kent is the hero of the Superman stories.,Clark Kent é o herói das histórias do Super Homem.
It's hot in here.,Faz calor aqui.
I got my right leg hurt in the accident.,Machuquei minha perna direita no acidente.
We don't know what he did at the party.,Não sabemos o que ele fez na festa.
"The audience applauded him, which means his performance was a success.",A audiência o aplaudiu o que significa que sua performance foi um sucesso.
I'll come to your place.,Vou para a sua casa.
Running is good for your health.,Correr é bom para a saúde.
You have to distinguish fact from fiction.,Você tem que separar os fatos da ficção.
My father plays golf every Sunday.,Meu pai joga golfe todo domingo.
"I met your mother through Facebook. So, if Facebook didn't exist, neither would you, my little angel.","Conheci sua mãe no Facebook. Se o Facebook não existisse, você também não, meu anjo."
We had an oral exam.,Tivemos um exame oral.
He does not take care of his children.,Ele não cuida de seus filhos.
The majority of the committee voted against the bill.,A maioria do comitê votou contra o projeto.
He has an eye for antiques.,Ele tem bom olho para antiguidades.
"Excuse me, what time is it?","Desculpe-me, que horas são?"
I like castles.,Eu gosto de castelos.
It's a great honor to be able to meet you.,É uma grande honra poder estar com você.
He has never been scolded by his father.,Ele nunca foi repreendido por seu pai.
The iPhone is an extraordinary cell phone.,O iPhone é um telefone celular extraordinário.
They are running now.,Eles estão correndo agora.
My name is Hopkins.,Meu nome é Hopkins.
No one could find the cave.,Ninguém não podia encontrar a gruta.
School is where we spend most of our time every day.,A escola é onde passamos a maior parte do nosso tempo todos os dias.
She worked hard.,Ela trabalhou duro.
There are plenty of fish in this river.,Tem bastantes peixes neste rio.
We are against working on Sundays.,Nós somos contra trabalhar aos domingos.
We often eat raw fish.,Nós frequentemente comemos peixe cru.
Tom was all worn out.,Tom estava exausto.
It is on this point that our opinions differ.,É neste ponto que nossas opiniões diferem entre si.
"I don't like math, much less physics.","Eu não gosto de matemática, muito menos de física."
"I'd like to pay the check, please.","Gostaria de pagar a conta, por favor."
Jane and I play the piano very well.,Jane e eu tocamos piano muito bem.
"Suppose you had ten million yen, what would you do?","Suponha que você tenha dez milhões de ienes, o que você faria?"
"It snows a lot in Hokkaido, doesn't it?","Em Hokkaido neva muito, não?"
Those present were all astonished at the results of the election.,Os presentes ficaram todos pasmos com os resultados da eleição.
Do it this way.,Faça-o desse jeito.
How time flies!,Como o tempo voa.
"Have the children arrived yet? ""No, none has come yet.""","As crianças já chegaram? ""Não, ainda não chegou nenhuma."""
That bridge is anything but safe.,Aquela ponte é tudo menos segura.
What time is it by your watch?,Que horas são no seu relógio?
It is bad manners to eat with a knife.,É falta de educação comer com uma faca.
I'm bad at sports.,Não tenho talento para esportes.
I gave it a try figuring that anything is worth a try. But putting together a program like this is something I'm no match for.,Fiz uma tentativa achando que tudo vale a pena uma tentativa. Mas montar um programa como este é algo para o qual eu não sou páreo.
"You are absolutely right, Mr Prime Minister!","Você está corretíssimo, Sr. Primeiro Ministro!"
Why don't you have dinner with me tonight?,Por que você não janta comigo hoje?
You will stay at home.,Você vai ficar em casa.
"Bring me the menu, please.","Traga-me o menu, por favor."
"Doctors can be wrong, and some patients can suddenly improve.","Os médicos podem enganar-se, e alguns pacientes podem recuperar-se de repente."
"Some water, please.","Água, por favor."
I would like to leave this town and never come back.,Gostaria de sair desta cidade e nunca mais voltar.
By virtue of frugality he has made a fortune.,Ele fez fortuna graças à sua frugalidade.
Yumiko married a childhood friend last June.,Junho passado Yumiko se casou com um amigo de infância.
The woman tastes the bread.,A mulher está provando o pão.
I always feel blue on Mondays.,Eu sempre me sinto triste nas segundas-feiras.
You can give me some money?,Você pode me dar algum dinheiro?
You had better not go there again.,É melhor você não ir lá de novo.
Don't rely too much on your guidebook.,Não confie demais no seu guia de viagem.
The man was sitting on a fallen tree.,O homem estava sentado sobre uma árvore caída.
She didn't come after all.,"Ela não veio, afinal de contas."
"I'm sorry, but I can't accept your invitation. I have other plans on that day.","Lamento, mas não posso aceitar o seu convite. Eu tenho outros planos para aquele dia."
I don't care for coffee.,Não tenho interesse por café.
His older sister is older than my oldest brother.,A sua irmã mais velha é mais velha que o meu irmão mais velho.
The opera ain't over till the fat lady sings.,A ópera não acaba até que a senhora gorda cante.
I will pick him up at the station.,Pegarei ele na estação.
She parked her car in a vacant lot.,Ela estacionou o seu carro numa vaga vazia.
He took a book from the bookshelf.,Ele pegou um livro da estante.
Some of the college students who are caught cheating on the exams do not even blush.,Alguns estudantes do colégio que foram pegados colando nos exames nem sequer enrubesceram.
She lost her only son in the traffic accident.,Ela perdeu seu único filho num acidente de trânsito.
Either you or I must attend the meeting.,Um de nós dois deve participar da reunião.
I will meet you at three o'clock tomorrow.,Eu te encontrarei às três horas amanhã.
The fall from the horse resulted in a broken leg.,A queda do cavalo resultou numa perna quebrada.
The price of gold fluctuates daily.,O preço do ouro muda diariamente.
She had the nerve to speak out.,Ela teve coragem de falar.
He cut himself with a knife yesterday.,Ele se cortou com uma faca ontem.
Do you think so?,Você acha?
There's a church behind my house.,Tem uma igreja atrás de minha casa.
Many people disagreed with the judge's decision.,Muitas pessoas desconcordaram da decisão do juiz.
You know I'd do anything for your beautiful eyes.,Você sabe que eu faria qualquer coisa pelos seus lindos olhos.
I have been anxious about your health.,Tenho estado ansioso a respeito da sua saúde.
"According to the newspaper, he committed suicide.",De acordo com o jornal ele se matou.
The towel is in the bathroom.,A toalha está no banheiro.
I wish you a long and happy married life.,Desejo-lhe uma longa e feliz vida de casado.
I need a police car.,Preciso de um carro de polícia.
Can you please tell me what time the train leaves?,"Você pode me dizer a que horas o trem parte, por favor?"
Have you finished knitting that sweater?,Você terminou de tricotar aquele suéter?
Mark in red anything you don't understand and ask about it in class.,Marque de vermelho tudo o que não entender e peça sobre isso na aula.
"As far as I know, he won't come.","Pelo que eu sei, ele não virá."
He came as lately as yesterday.,Ele veio tão tarde quanto ontem.
He will be here in half an hour.,Estará aqui em meia hora.
She looks as if she had been ill for a long time.,Ela aparenta ter estado doente por um longo tempo.
The whereabouts of the suspect is still unknown.,Ainda não se sabe a localização do suspeito.
You don't have to be so nervous.,Você não tem que ficar tão nervoso.
This coat doesn't fit me.,Este casaco não me serve.
He must buy a new bicycle for his son.,Ele deve comprar uma bicicleta nova para o filho.
What did you buy?,O que você comprou?
"I have a headache, so I would like to take a day off today.","Estou com dor de cabeça, então gostaria de tirar o dia de férias hoje."
The crowd yelled when he scored a goal.,A multidão vibrou quando ele marcou um gol.
I never give up.,Eu não desisto nunca.
He will be back in ten minutes.,Ele estará de volta em dez minutos.
I'm sure that they will pass the test.,Estou seguro de que eles vão passar no exame.
Moral and physical development are remarkable in the youth.,Os desenvolvimentos moral e físico são notáveis na juventude.
May I talk to Ms. Brown?,Posso falar com a Sra. Brown?
Please tell us about your family.,"Por favor, fale-nos sobre sua família."
It is believed that she is a genius.,Acredita-se que ela é um gênio.
He rested his hand on my shoulder.,Ele colocou sua mão no meu ombro.
She made the same mistake as before.,Ela cometeu o mesmo erro de antes.
Romans did not want their empire to decline; but it did.,"Os romanos não queriam o declínio de seu império, mas assim aconteceu."
They were treating me so rudely that I suddenly just lost it.,Eles estavam me tratando de forma tão rude que subitamente perdi a cabeça.
I've never played golf.,Nunca joguei golfe.
He asked me if I wanted to go abroad.,Perguntou-me se eu queria ir para fora.
I'll come back soon.,Voltarei em breve.
My sister has been knitting since this morning.,Minha irmã está tricotando desde hoje de manhã.
I was happy to see her again.,Fiquei feliz em vê-la novamente.
"Everywhere he went, he taught love, patience, and most of all, non-violence.","Onde quer que ele estivesse, ensinava o amor, a paciência e, acima de tudo, a não-violência."
The boy reading a book is John.,O menino lendo um livro é o John.
I'm starving!,Estou morrendo de fome!
All is completed with this.,Tudo está completo com isto.
John inherited a large fortune.,Juan herdou uma grande fortuna.
"You can't say that civilization doesn't advance, however, for in every war they kill you in a new way.","Você não pode dizer que a civilização não avança, no entanto, a cada guerra eles matam você de um jeito novo."
Mother approved my plan.,A mãe aprovou meu plano.
Don't trust a man whose past you know nothing about.,Não confie em um homem cujo passado você desconhece completamente.
Is that a common name?,Aquele é um nome comum?
I started reading the book.,Eu comecei a ler o livro.
I wish you had told me that.,Queria que você tivesse me contado aquilo.
He worked hard to support a large family.,Ele trabalhou duro para sustentar uma família grande.
The confusion is all over.,A confusão acabou.
Fire is always dangerous.,O fogo sempre é perigoso.
We turned left at the corner and drove north.,Nós viramos à esquerda na esquina e seguimos para o norte.
He has been to many places.,Ele esteve em vários lugares.
Are you younger than him?,Você é mais novo que ele?
Her skirt is totally out of fashion.,Sua saia está totalmente fora de moda.
I regard him as a poet.,Considero-o um poeta.
I am eating rice.,Estou comendo arroz.
They waited on the porch until it stopped raining.,Eles esperam na varanda até parar de chover.
This hotel is relatively expensive for this town.,Este hotel é relativamente caro para esta cidade.
I couldn't go out because of the rain.,Não pude sair por causa da chuva.
It's occupied.,Está ocupado.
I wash the blouse.,Eu lavo a blusa.
Tell me what you did in Hawaii.,Conta o que você fez em Havaí.
I spent three hours repairing the car.,Eu gastei três horas consertando o carro.
I am constantly forgetting names.,"Eu estou, constantemente, esquecendo nomes."
What is the student population at your college?,Quantos estudantes têm em sua faculdade?
Tell me the name of the ninth month.,Me diga o nome do nono mês.
We have snow in January.,Nós temos neve em janeiro.
"One cup of coffee, please.","Uma xícara de café, por favor."
She is capable of teaching English.,Ela é capacitada a ensinar inglês.
Mary mixed the ingredients to make a cake.,Mary misturou os ingredientes para fazer um bolo.
This matter is extremely important to us.,Este assunto é extremamente importante para a gente.
I often lie on this bench.,Eu costumo deitar nesse banco.
He had hardly got into bed when he fell asleep.,Ele praticamente nem tinha deitado na cama quando adormeceu.
Where did you get all those keys?,Onde você pegou todas aquelas chaves?
You are not consistent.,Você não é consistente.
I helped him walk across the street.,Eu o ajudei a atravessar a rua.
She lies ill in bed.,Ela está de cama.
It is always useful to have savings to fall back on.,É sempre útil ter economias como segurança.
We must act at once.,Precisamos agir de uma vez.
What a pity!,Que pena.
"Arianna, you're a disaster!","Arianna, você é um desastre!"
She lived a lonely life.,Ela vivia uma vida solitária.
His dog barks at me.,O cachorro dele late para mim.
She is not as tall as he.,Ela não é tão alta quanto ele.
Our plane was flying above the clouds.,Nosso avião estava voando acima das nuvens.
The big cities are full of allurements.,As cidades grandes são cheias de seduções.
I wondered why people stared at me.,Eu ficava imaginando por que as pessoas estavam me olhando.
"As it is late, turn off the TV.","Desligue a TV, já que está tarde."
He made every effort to pass the exam.,Ele fez todo o possível para passar no exame.
Chew your food well.,Mastigue bem os alimentos.
The question doesn't concern me.,Essa questão não me concerne.
They went against my wishes.,Eles foram contra a minha vontade.
You should know better than to ask a lady her age.,Você deveria saber que não se pergunta a idade de uma dama.
He must be stupid to believe such a thing.,Ele deve ser estúpido para acreditar em tal coisa.
Our bodies respond to our feelings.,Nossos corpos respondem aos nossos sentimentos.
The policy will only accelerate inflation.,A política só vai acelerar a inflação.
We decided by vote.,Nós decidimos por votação.
You can do this with ease.,Podes fazer isto com facilidade.
The children were playing in the backyard.,As crianças estavam brincando no quintal.
He usually gets up at six.,Ele normalmente se acorda às seis.
I have not seen you for ages.,Não o vejo há anos.
The comet leaves a trail of light behind it as it moves.,O cometa deixa um rastro de luz atrás de si enquanto se move.
It's already ten o'clock at night.,Já são dez horas da noite.
It's still raining.,Ainda está chovendo.
Do you know what it is like to be really hungry?,Você sabe o que é passar realmente fome?
"A cup of coffee, please.","Uma xícara de café, por favor."
The essence of liberty is mathematics.,A essência da liberdade é a matemática.
What time will the band start playing?,A que horas a banda começará a tocar?
I succeeded in getting the book.,Eu consegui o livro.
It is only a few months since that Frenchman came to Japan.,Aquele francês chegou ao Japão há apenas alguns meses.
Japan is an industrial nation.,O Japão é um país industrial.
I ordered half a dozen books on chemistry from New York.,Encomendei meia dúzia de livros de química de Nova York.
My room has two windows.,Meu quarto tem duas janelas.
Why does this always happen to me?,Por que isto sempre acontece comigo?
I think that you're not studying enough.,Acho que você não está estudando o suficiente.
The radio is too loud.,O som está muito alto.
How far is it from here to Ueno?,Qual a distância daqui a Ueno?
This one is prettier.,Este aqui é mais bonito.
My car broke down this morning and won't be repaired until Friday.,Meu carro quebrou essa manhã e não será consertado até sexta-feira.
Whose are these shoes?,De quem são estes sapatos?
"In her book, ""In the Land of Invented Languages,"" Arika Okrent speaks favourably about Esperanto.","Em seu livro, ''Na terra das línguas inventadas,'' Arika Okrent fala, favoravelmente, sobre o esperanto."
Don't talk so loud.,Não fala tão alto.
"That job brings him in an extra 60,000 yen a month.",Esse trabalho rende a ele 60.000 ienes extras por mês.
I have a friend living in Nara.,Tenho um amigo que mora em Nara.
Nagano beat Salt Lake City by 46 votes to 42.,Nagano ganha Salt Lake City por 46 votos a 42.
He had already gone.,Ele já partira.
Japan is a beautiful country.,O Japão é um país bonito.
"We usually eat with a knife, fork and spoon.","Normalmente comemos com faca, garfo e colher."
I have no time to see you.,Eu não tenho tempo de vê-lo.
