English,Portuguese
I didn't want this to happen.,Eu não queria que isso acontecesse.
You can probably guess what happens though.,"Você pode provavelmente adivinhar o que acontece, porém."
"Next thing you know, you'll be in the papers.","Antes de se dar conta, você estará nos jornais."
What other options do I have?,Que outras opções eu tenho?
I am not much of a traveller.,Eu não sou muito de viajar.
I have nothing better to do.,Não tenho nada melhor para fazer.
I can't explain it either.,Eu também não consigo explicar.
Everyone has strengths and weaknesses.,Todos têm forças e fraquezas.
"Seriously though, episode 21 made me almost cry while laughing.","Agora falando sério, o episódio 21 quase me fez chorar de rir."
It only shows you're not a robot.,Isso só mostra que você não é um robô.
How could I be a robot? Robots don't dream.,Como eu poderia ser um robô? Robôs não sonham.
It's not something anyone can do.,Não é algo que qualquer um seja capaz de fazer.
I don't know if I still have it.,Eu não sei se ainda o tenho.
What do you think I've been doing?,O que você acha que eu estive fazendo?
Don't underestimate my power.,Não subestime meu poder.
My mom doesn't speak English very well.,Minha mãe não fala inglês muito bem.
I don't speak French well enough!,Não falo francês bem o suficiente!
I was wondering if you were going to show up today.,Eu estava me perguntando se você ia aparecer hoje.
Therein lies the problem.,É aí que está o problema.
How do you find food in outer space?,Como você encontra comida no espaço?
All you can do is trust one another.,Tudo que vocês podem fazer é confiar um no outro.
Everyone wants to meet you. You're famous!,Todo mundo quer te conhecer. Você é famoso!
Why are you sorry for something you haven't done?,Por que você se desculpa por algo que você não fez?
Foreign people intrigue me.,Eu fico intrigado com estrangeiros.
"Whatever I do, she says I can do better.","Não importa o que eu fizer, ela diz que eu posso fazer melhor."
What keeps you up so late?,O que te mantém acordado até tão tarde?
You'd be surprised what you can learn in a week.,Você ficaria surpreso com a quantidade de coisas que você pode aprender em uma semana.
I don't have anyone who'd travel with me.,Eu não tenho ninguém que viaje comigo.
You're not fast enough.,Você não é rápido o bastante.
"Life is hard, but I am harder.","A vida é dura, mas eu sou mais ainda."
Bearing can be unbearable.,Suportar pode ser insuportável.
Stop it! You're making her feel uncomfortable!,Pare! Você está a deixando inconfortável.
Nothing is beautiful but the truth.,Somente a verdade é bela.
"Tomorrow, he will land on the moon.",Amanhã ele irá aterrissar na lua.
I don't speak Japanese.,Eu não falo japonês.
This is a pun.,Isso é um jogo de palavras.
Nobody understands me.,Ninguém me entende.
I learned to live without her.,Eu aprendi a viver sem ela.
It's useless to keep on thinking any more.,Não adianta mais nada continuar pensando.
I have too many things on my mind these days.,Estou com muitas coisas na cabeça nesses últimos dias.
I just wanted to check my email.,Eu só queria checar o meu e-mail.
Do you really need to ask the question to know the answer?,Você realmente precisa perguntar pra saber a resposta?
You can't expect me to always think of everything!,Você não pode esperar que eu sempre pense em tudo!
"I suppose that behind each thing we have to do, there's something we want to do...",Eu suponho que por trás de tudo que temos que fazer há algo que queremos fazer...
You really don't have the right priorities!,Você realmente não tem as prioridades corretas!
Don't expect others to think for you!,Não espere que as outras pessoas pensem por você.
You never have time for important things!,Você nunca tem tempo para coisas importantes!
It's no use pretending to make me believe that I believe things you don't believe!,Não há porque fingir para me fazer acreditar que eu acredito em coisas que você não acredita!
It would take me too much time to explain to you why it's not going to work.,Eu levaria tempo demais para lhe explicar porque não vai funcionar.
I'm so dumb... I'm trying to explain things to you that I don't understand myself.,Eu sou tão burro... estou tentando te explicar coisas que eu mesmo não entendo.
"Stop seeing me as a ""normal"" person!",Pare de me ver como uma pessoa comum.
Are you referring to me?,Você está referindo a mim?
"There will always be things I will never learn, I don't have eternity before me!",Sempre haverá coisas que eu nunca vou aprender. Eu não tenho a eternidade à minha disposição!
It can't be!,Não pode ser!
"I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.","Eu queria poder me importar mais com minhas notas, mas parece que, em um certo ponto da minha vida, eu decidi que isso não seria mais tão importante."
Would you like something to drink?,Você deseja beber algo?
"Who is it? ""It's your mother.""","Quem é essa? ""É a sua mãe."""
"When will you be back? ""It all depends on the weather.""","Quando você vai voltar? ""Só depende do tempo."""
What's the matter? asked the little white rabbit.,"Qual é o problema?, perguntou o pequeno coelho branco."
"What's going on in the cave? I'm curious. ""I have no idea.""","O que está acontecendo na caverna? Estou curioso. ""Não faço ideia"""
"We must learn to live together as brothers, or we will perish together as fools.","Nós devemos aprender a viver juntos como irmãos, ou vamos morrer juntos como tolos."
Uh... How's that working?,Hmm... Como as coisas estão indo?
"To tell you the truth, I am scared of heights. ""You are a coward!""","Para ser honesto, estou com medo de altura. ""Você é um covarde!"""
"Trust me, he said.","Confie em mim, disse ele."
This is what I was looking for! he exclaimed.,Era isso que eu estava procurando! Ele exclamou.
"This looks pretty interesting, Hiroshi says.","Isso parece ser bem interessante, Hiroshi diz."
Their communication may be much more complex than we thought.,A comunicação deles pode ser muito mais complicada do que nós pensamos.
"The phone is ringing. ""I'll get it.""","O telefone está tocando. ""Eu já estou indo""."
"That's very nice of you, Willie answered.","É muito gentil de vossa parte, respondeu Willie."
Someday I'll run like the wind.,Algum dia eu vou correr como o vento.
"She likes music. ""So do I.""","Ela gosta de música. ""Eu também."""
Please don't cry.,"Por favor, não chore."
Let me know if there is anything I can do.,Me avise se houver algo que eu possa fazer.
It may be that the happiness awaiting us is not at all the sort of happiness we would want.,A felicidade que nos espera pode não ser aquela que gostaríamos.
It is up to you to decide whether we will go there or not.,Você que deve decidir se nós vamos ou não vamos lá.
Class doesn't begin until eight-thirty.,A aula só começa às oito e meia.
I want a boat that will take me far away from here.,Eu quero um barco que me leve para bem longe daqui.
"I feel like playing cards. ""So do I.""","Estou com vontade de jogar baralho. ""Eu também."""
Haven't we met somewhere before? asked the student.,''Nós não nos encontramos em algum lugar antes?'' Pediu o estudante.
Allen is a poet.,Allen é um poeta.
The archer killed the deer.,O arqueiro matou o cervo.
"In the 1950's, the Finns were cited as having one of the least healthy diets in the world.",Nos anos 50 os finlandeses eram citados como aqueles que tinham uma das dietas alimentares menos saudáveis do mundo.
"If you see a mistake, then please correct it.","Se você vir um erro, corrija-o por favor."
Place the deck of cards on the oaken table.,Coloque o baralho na mesa de carvalho.
"If you don't eat, you die.","Se você não comer, você morre."
"How do you spell ""pretty""?","Como se escreve ""pretty""?"
Why don't we go home?,Por que não vamos pra casa?
"I'm sorry, I can't stay long.","Me desculpe, eu não posso ficar por muito tempo."
Ten years is a long time to wait.,Dez anos é um tempo bem longo para se esperar.
"Why aren't you going? ""Because I don't want to.""","Por que você não vai? ""Porque eu não quero."""
One million people lost their lives in the war.,Um milhão de pessoas perderam as suas vidas na guerra.
It is not rare at all to live over ninety years.,Não é de maneira alguma raro viver mais de noventa anos.
"Democracy is the worst form of government, except all the others that have been tried.","A democracia é a pior forma de governo, exceto por todas as outras que já foram testadas anteriormente."
"When you're beginning to look like the photo in your passport, you should go on a holiday.","Quando você estiver ficando parecido com a sua foto do seu passaporte, está na hora de tirar uma folga."
"It wasn't me, commissioner!","Não fui eu, comissário!"
"Oh, my white pants! And they were new.","Oh, minhas calças brancas! E elas eram novas!"
"When I left the train station, I saw a man.",Ao sair da estação de trem eu vi um homem.
You're an angel!,Você é um anjo!
People from Madrid are weird.,As pessoas de Madri são estranhas.
"Well, the night is quite long, isn't it?","Bem, a noite é bem longa, não é?"
You're lucky because he didn't bite you.,Você teve a sorte de ele não te morder.
Did you miss me?,Você sentiu a minha falta?
Are they all the same?,São todos do mesmo tipo?
Thank you very much!,Muito obrigado!
"Where are the eggs, please?","Onde estão os ovos, por favor?"
I'll take him.,Eu o levarei.
It's a surprise.,É surpresa.
That's a good idea!,Que boa ideia!
Round trip? Only one-way.,Ida e volta? Só ida.
It's a pity when somebody dies.,É uma pena quando alguém morre.
They were left speechless.,Deixaram eles sem saber o que dizer.
Wash before first wearing.,Lave antes de vestir pela primeira vez.
Don't open before the train stops.,Não abra antes do trem parar.
Those who live in glass houses should not throw stones.,Quem vive em casas de vidro não deveria jogar pedras.
They say love is blind.,Dizem que o amor é cego.
"Oh, I'm sorry.","Oh, me desculpe."
"Math is like love: a simple idea, but it can get complicated.","A matemática é como o amor: uma ideia simples, mas que pode se tornar bem complicada."
The only useful answers are those that raise new questions.,As únicas respostas úteis são aquelas que geram novas perguntas.
To have doubts about oneself is the first sign of intelligence.,Ter dúvidas em relação a si mesmo é o primeiro sinal de inteligência.
"Poor is not the one who has too little, but the one who wants too much.","Pobre não é aquele que tem muito pouco, é aquele que quer ter demais."
"Seeing that you're not surprised, I think you must have known.","Vendo como não está surpreso, acho que você já deveria estar sabendo."
How long does it take to get to the station?,Quanto tempo leva para chegar na estação?
This will be a good souvenir of my trip around the United States.,Essa será uma boa lembrancinha da minha viagem pelos Estados Unidos.
Excuse me; allow me to point out three errors in the above article.,Com licença; permita-me apontar três erros no artigo acima.
Do you speak Italian?,Você fala italiano?
"I can't think with that noise, she said, as she stared at the typewriter.","Eu não consigo pensar com esse barulho, disse ela, fixando os olhos na máquina de escrever."
"It is said that ""Hamlet"" is the most interesting play ever written.",Dizem que Hamlet é a peça mais bem escrita de todas.
May I ask a question?,Posso fazer uma pergunta?
How do you feel? he inquired.,"Como você se sente?, ele perguntou."
It's quite difficult to master French in 2 or 3 years.,É muito difícil dominar francês em dois ou três anos.
It's impossible for me to explain it to you.,Me é impossível explicar isso para você.
I don't want to spend the rest of my life regretting it.,Eu não quero passar o resto da minha vida lamentando por isso.
It would be fun to see how things change over the years.,Seria divertido ver como as coisas mudam ao passar dos anos.
I would never have guessed that.,Eu nunca teria adivinhado isso.
Imagination affects every aspect of our lives.,A imaginação afeta todos os aspectos das nossas vidas.
You'll forget about me someday.,Você vai me esquecer um dia.
That is rather unexpected.,Isso é bem inesperado.
I wonder how long it's going to take.,Eu me pergunto quanto tempo vai durar.
I can't live without a TV.,Eu não consigo viver sem uma televisão.
I couldn't have done it without you. Thank you.,Eu não conseguiria ter feito sem você. Obrigado.
Nothing is achieved without effort.,Nada se consegue sem esforço.
Life without love is just totally pointless.,Uma vida sem amor não tem sentido.
Let me know if I need to make any changes.,Me informe se eu preciso fazer alguma mudança.
I think exams are ruining education.,Eu acho que as provas estão arruinando com a educação.
We can't sleep because of the noise.,Nós não conseguimos dormir por causa do barulho.
Do you have a condom?,Você tem uma camisinha?
Do whatever he tells you.,Faça tudo o que ele mandar.
I can walk to school in 10 minutes.,Posso ir à escola a pé em 10 minutos.
It took me more than two hours to translate a few pages of English.,Levei mais de duas horas para traduzir algumas páginas para inglês.
It is already eleven.,Já são 11 horas.
May I talk to Ms. Brown?,Posso falar com a Sra. Brown?
"Yes, orange juice please, says Mike.","Sim, suco de laranja, por favor, diz Mike."
Ah! is an interjection.,Ah! é uma interjeição.
What do you want?,O que você quer?
Do you need me to give you some money?,Você precisa que eu te dê algum dinheiro?
Paris is the most beautiful city in the world.,Paris é a cidade mais bonita do mundo.
"Hey, I may have no money, but I still have my pride.","Ei, talvez eu não tenha dinheiro, mas eu ainda tenho meu orgulho."
I have a dream.,Eu tenho um sonho.
The cost of life increased drastically.,O custo de vida aumentou drasticamente.
"All that which is invented, is true.",Tudo que já foi inventado é verdadeiro.
"To be surprised, to wonder, is to begin to understand.","Ser surpreendido, se perguntar, é começar a entender."
But the universe is infinite.,Mas o Universo é infinito.
"And yet, the contrary is always true as well.","E, mesmo assim, o contrário também é sempre verdade."
"We don't see things as they are, but as we are.","Não vemos as coisas como elas são, mas como nós somos."
The world is a den of crazies.,O mundo é uma toca de loucos.
You found me where no one else was looking.,Você me achou onde ninguém mais estava procurando.
You're by my side; everything's fine now.,Você está do meu lado. Agora tudo está bem.
What do you mean you don't know?!,O que você quer dizer com você não sabe?
You look stupid.,Você está ridículo.
I think I'm gonna go to sleep.,Acho que eu vou dormir.
My name is Jack.,Meu nome é Jack.
I like it very much.,Eu gosto muito disso.
We're meeting up tomorrow?,Nos encontramos amanhã?
How do you say that in Italian?,Como se diz isso em italiano?
I have to go shopping. I'll be back in an hour.,Eu tenho que fazer compras. Voltarei em uma hora.
Is it far from here?,É longe daqui?
These things aren't mine!,Essas coisas não são minhas!
"Thanks, that's all.","Obrigado, isso é tudo."
Would you like to dance with me?,Gostaria de dançar comigo?
Italy is a very beautiful country.,A Itália é um país muito bonito.
It's not my fault!,Não é minha culpa!
I'd like to stay for one night.,Eu gostaria de ficar por uma noite.
Where are the showers?,Onde estão as duchas ?
Open your mouth!,Abra a sua boca!
Is it bad?,É grave?
I have lost my wallet.,Eu perdi minha carteira.
Love is never wasted.,Amar nunca é um desperdício.
Life is what happens to you while you're busy making other plans.,Vida é o que acontece enquanto você está ocupado fazendo outros planos.
Not wanting is the same as having.,Não querer é o mesmo que ter.
He's very sexy.,Ele é muito sexy.
"Pass me the salt, please. ""Here you are.""","Pode passar o sal, por favor? ""Aqui está""."
There are too many things to do!,Há coisas demais por fazer!
"Come on, play with me, I'm so bored!","Vamos, brinque comigo, estou tão entediado!"
Don't you even think of eating my chocolate!,Nem pense em comer meu chocolate!
Stop asking me for a drink! Go get it yourself.,Pare de ficar me pedindo uma bebida! Vá buscá-la você mesmo.
Thanks to you I've lost my appetite.,Graças a você eu perdi meu apetite.
I really need to hit somebody.,Estou sentindo uma vontade enorme de bater em alguém.
Who doesn't know this problem?!,Quem não conhece esse problema?
"If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.","Se você não quer colocar protetor solar, isso é problema seu. Só não me venha reclamar quando você ficar queimado do sol."
I hate those spiders. They're always there to freak me out when I'm cleaning.,Odeio essas aranhas; elas sempre estão lá para me enlouquecerem quando estou fazendo uma limpeza.
So annoying... Now I get a headache whenever I use the computer!,Que chato... Eu não posso usar o computador nem mesmo uma vez sem ter dor de cabeça.
It's so hot that you could cook an egg on the hood of a car.,Está tão quente que você poderia cozinhar um ovo no capô de um carro.
It is very hot today.,Hoje faz muito calor.
Nobody came.,Ninguém veio.
I never saw a red fridge.,Eu nunca via uma geladeira vermelha.
Better to be hated for who you are than loved for who you're not.,Melhor ser odiado por aquilo que somos do que ser amado por aquilo que não somos.
Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,A matemática é a parte da ciência que você poderia continuar a fazer se acordasse amanhã e descobrisse que o universo tinha desaparecido.
Look at me when I talk to you!,Olhe para mim quando eu falar com você!
I don't know what to say to make you feel better.,Eu não sei o que dizer para fazer você se sentir melhor.
I was trying to kill time.,Estava tentando matar o tempo.
How did you come up with this crazy idea?,Como foi que essa ideia insana lhe veio à mente?
I'm tired.,Eu estou cansado.
Who wants some hot chocolate?,Quem quer chocolate quente?
"Speak more slowly, please!","Fale mais devagar, por favor."
When do we arrive?,Quando nós iremos chegar?
"The check, please.","A conta, por favor."
And what are we going to do?,E o que nós vamos fazer?
I have a headache.,Estou com dor de cabeça.
I must admit that I snore.,Eu tenho que admitir que eu ronco.
Tonight we're going to church.,Hoje à noite vamos à igreja.
How are you? Did you have a good trip?,Como você está? Teve uma boa viagem?
I don't feel well.,Eu não me sinto bem.
Call the police!,Chame a polícia!
It's too expensive!,É muito caro!
She's faking sleep. That's why she's not snoring.,Ela está fingindo dormir. É por isso que não está roncando.
My shoes are too small. I need new ones.,Meus sapatos estão muito pequenos. Preciso de novos.
"If you're tired, why don't you go to sleep? ""Because if I go to sleep now I will wake up too early.""","Se você está cansado, por que você não vai dormir? ""Porque, se eu dormir agora, eu vou acordar muito cedo."""
You should have listened to me.,Você deveria ter me escutado.
"When the body is touched, receptors in the skin send messages to the brain causing the release of chemicals such as endorphins.","Quando o corpo é tocado, receptores na pele enviam mensagens para o cérebro causando a descarga de substâncias químicas tais como endorfinas."
The French government has launched an online game that challenges taxpayers to balance the national budget.,O governo francês lançou um jogo online que desafia o contribuinte a balancear o orçamento nacional.
He would be glad to hear that.,Ele ficaria feliz em ouvir isso.
What do you believe is true even though you cannot prove it?,O que você acha ser verdade apesar de não poder provar?
Computers make people stupid.,Computadores tornam as pessoas tolas.
Don't ask what they think. Ask what they do.,Não pergunte o que eles pensam. Pergunte o que eles fazem.
"What changes the world is communication, not information.","O que modifica o mundo é comunicação, não informação."
Most scientific breakthroughs are nothing else than the discovery of the obvious.,A maioria dos grandes descobertas científicas são nada menos que a descoberta do óbvio.
"The past can only be known, not changed. The future can only be changed, not known.","O passado só pode ser conhecido, não mudado. O futuro só pode ser mudado, não conhecido."
The key question is not what can I gain but what do I have to lose.,"A questão não é o que eu tenho a ganhar, mas o que eu tenho a perder."
Any universe simple enough to be understood is too simple to produce a mind able to understand it.,Qualquer universo simples o bastante para ser compreendido é simples demais para produzir uma mente capaz de compreendê-lo.
Why is life so full of suffering?,Por que a vida é tão cheia de sofrimento?
What does it mean to have an educated mind in the 21st century?,O que significa ter uma mente educada no século XXI?
Passion creates suffering.,A paixão cria sofrimento.
The train from Geneva will arrive at the station.,O trem que partiu de Genebra chegará à estação.
I would like to give him a present for his birthday.,Gostaria de lhe dar um presente pelo seu aniversário.
I'm starving!,Estou morrendo de fome!
Do you have friends in Antigua?,Você tem amigos na Antígua?
A cubic meter corresponds to 1000 liters.,Um metro cúbico corresponde a 1000 litros.
I have so much work that I will stay for one more hour.,Eu tenho tanto trabalho que vou ficar por mais uma hora.
I am married and have two children.,Eu sou casado e tenho dois filhos.
He plays the piano very well.,Ele toca muito bem piano.
I see it rarely.,Eu o vejo raramente.
I'd like to study in Paris.,Eu gostaria de estudar em Paris.
You don't know who I am.,Você não sabe quem eu sou.
Why don't you eat vegetables?,Por que você não come frutas e verduras?
Why do people go to the movies?,Por que as pessoas vão ao cinema?
I'm undressing.,Estou me despindo.
The car crashed into the wall.,O carro bateu no muro.
There are no real visions.,Não há visões reais.
"There's no point saying ""Hi, how are you?"" to me if you have nothing else to say.","Não há razão para você me dizer ""Oi, como vai?"" se você não tiver nada além disso a dizer."
"In a dictionary like this one there should be at least two sentences with ""fridge"".","Num dicionário como este deveria haver pelo menos duas frases com ""geladeira""."
Creationism is a pseudo-science.,O criacionismo é uma pseudociência.
The wind calmed down.,O vento se acalmou.
I don't want to propose to you!,Não quero pedir a sua mão!
Give me time to give you everything I have!,Dê-me tempo para lhe dar tudo o que eu tenho!
A democrat is a free citizen who yields to the will of the majority.,Um democrata é um cidadão livre que cede à vontade da maioria.
"Where there's a will, there's a way.",Querer é poder.
"Who searches, finds.",Quem procura encontra.
